Date           Open    High    Low     Close   AdjCl   Volume
Nov 02, 2017   72.34   73.43   72.07   73.17   72.15   1063900
Nov 01, 2017   73.02   73.02   72.36   72.41   71.40   725100
Oct 31, 2017   72.40   72.84   71.95   72.65   71.64   1027600
Oct 30, 2017   72.29   73.13   72.06   72.40   71.39   1894900
Oct 27, 2017   72.66   72.66   71.77   72.34   71.33   1321500
Oct 26, 2017   72.61   72.87   72.01   72.29   71.28   1463800
Oct 25, 2017   72.71   73.62   72.35   72.44   71.43   1951100
Oct 24, 2017   73.75   73.94   73.24   73.45   72.43   1325500
Oct 23, 2017   72.88   73.58   72.63   73.49   72.47   1300500
Oct 20, 2017   73.02   73.47   72.20   72.92   71.91   1934100
Oct 19, 2017   73.93   74.04   72.41   72.94   71.93   1995200
Oct 18, 2017   74.68   74.92   74.19   74.60   73.56   1691900
Oct 17, 2017   74.19   74.91   73.98   74.71   73.67   981600
Oct 16, 2017   74.34   74.50   73.75   74.11   73.08   912400
Oct 13, 2017   74.80   74.95   74.10   74.34   73.31   1148700
Oct 12, 2017   75.71   75.75   74.72   74.91   73.87   1308300
Oct 11, 2017   74.66   75.69   74.38   75.63   74.58   1368500
Oct 10, 2017   74.34   74.79   73.64   74.56   73.52   1245300
Oct 09, 2017   73.50   75.30   73.43   74.50   73.46   2026200
Oct 06, 2017   77.73   77.85   73.71   73.90   72.87   2600800
Oct 05, 2017   77.73   78.07   77.42   77.65   76.57   708200
Oct 04, 2017   77.54   77.65   77.11   77.57   76.49   678600
Oct 03, 2017   77.62   78.00   77.15   77.75   76.67   856900
Oct 02, 2017   77.67   77.82   77.15   77.79   76.71   693100
Sep 29, 2017   77.57   77.83   77.01   77.57   76.49   572700
Sep 28, 2017   77.10   78.31   76.98   77.63   76.55   699900
Sep 27, 2017   76.86   77.46   76.70   77.13   76.06   577800
Sep 26, 2017   77.47   77.50   76.33   76.37   75.31   519600
Sep 25, 2017   76.43   77.15   75.90   77.12   76.05   886300
Sep 22, 2017   76.08   76.67   75.91   76.42   75.36   473800
Sep 21, 2017   76.83   76.83   75.38   76.10   75.04   846300
Sep 20, 2017   75.89   76.89   75.66   76.74   75.67   1076600
Sep 19, 2017   75.28   76.44   75.27   76.32   75.26   882400
Sep 18, 2017   74.81   75.28   74.61   75.09   74.05   973700
Sep 15, 2017   74.73   75.20   74.41   74.75   73.71   1423300
Sep 14, 2017   74.34   74.74   74.30   74.70   73.66   1198300
Sep 13, 2017   74.91   75.09   74.50   74.74   73.33   644900
Sep 12, 2017   73.90   75.04   73.77   75.03   73.61   536400
Sep 11, 2017   74.64   75.16   74.06   74.17   72.77   1443700
Sep 08, 2017   73.75   74.75   73.75   74.35   72.94   842800
Sep 07, 2017   74.22   74.35   73.35   73.72   72.32   1098100
Sep 06, 2017   74.64   75.08   74.15   74.19   72.79   799500
Sep 05, 2017   75.37   75.37   73.70   74.38   72.97   1049900
Sep 01, 2017   75.48   75.69   75.19   75.37   73.94   550400
Aug 31, 2017   75.17   75.76   75.17   75.38   73.95   586700
Aug 30, 2017   75.15   75.53   75.05   75.08   73.66   585800
Aug 29, 2017   75.13   75.38   74.87   75.21   73.79   766300
Aug 28, 2017   76.00   76.15   75.38   75.63   74.20   546200
Aug 25, 2017   75.25   76.15   75.25   75.75   74.32   560400
Aug 24, 2017   75.90   75.90   74.91   74.94   73.52   854600
Aug 23, 2017   76.13   76.13   75.61   75.69   74.26   690200
Aug 22, 2017   75.58   76.67   75.42   76.44   74.99   693800
Aug 21, 2017   74.90   75.44   74.67   75.29   73.86   942500
Aug 18, 2017   76.13   76.20   74.62   74.91   73.49   1542000
Aug 17, 2017   77.05   77.44   76.19   76.28   74.84   560100
Aug 16, 2017   77.30   77.75   77.03   77.12   75.66   601700
Aug 15, 2017   77.09   77.20   76.83   77.00   75.54   782600
Aug 14, 2017   75.96   76.91   75.94   76.80   75.35   706500
Aug 11, 2017   76.16   76.38   75.41   75.50   74.07   673600
Aug 10, 2017   76.03   76.79   75.59   75.92   74.48   750700
Aug 09, 2017   74.84   76.28   74.68   76.25   74.81   577700
Aug 08, 2017   75.09   75.39   74.97   75.25   73.83   420500
Aug 07, 2017   75.27   75.56   74.98   75.01   73.59   483800
Aug 04, 2017   75.50   75.68   74.94   75.11   73.69   771500
Aug 03, 2017   74.59   75.27   74.53   75.09   73.67   558200
Aug 02, 2017   74.76   74.92   74.38   74.67   73.26   388100
Aug 01, 2017   74.43   74.82   74.11   74.78   73.36   708500
Jul 31, 2017   74.45   74.65   74.27   74.37   72.96   646700
Jul 28, 2017   74.32   74.74   74.11   74.37   72.96   518300
Jul 27, 2017   74.50   75.23   73.70   74.33   72.92   1269000
Jul 26, 2017   69.76   74.53   69.52   74.45   73.04   987600
Jul 25, 2017   73.03   73.35   72.57   72.74   71.36   780900
Jul 24, 2017   72.39   72.77   72.39   72.64   71.27   485600
Jul 21, 2017   71.95   72.79   71.95   72.74   71.36   846300
Jul 20, 2017   71.82   72.15   71.71   72.02   70.66   590600
Jul 19, 2017   71.70   71.88   71.40   71.81   70.45   526400
Jul 18, 2017   71.36   71.79   71.07   71.70   70.34   562200
Jul 17, 2017   71.02   71.80   70.73   71.49   70.14   902100
Jul 14, 2017   71.31   71.68   70.66   71.06   69.71   508600
Jul 13, 2017   71.50   71.88   71.27   71.54   70.19   640900
Jul 12, 2017   71.17   71.52   70.93   71.33   69.98   556600
Jul 11, 2017   71.30   71.79   71.00   71.20   69.85   980100
Jul 10, 2017   71.52   71.83   71.32   71.34   69.99   462000
Jul 07, 2017   71.40   71.78   70.94   71.63   70.27   612500
Jul 06, 2017   71.54   71.67   71.16   71.26   69.91   629100
Jul 05, 2017   71.69   72.14   71.54   71.68   70.32   927300
Jul 03, 2017   71.51   72.28   71.49   71.65   70.29   473300
Jun 30, 2017   71.58   71.96   71.48   71.49   70.14   660200
Jun 29, 2017   72.00   72.14   71.25   71.54   70.19   764300
Jun 28, 2017   70.94   71.84   70.79   71.63   70.27   691800
Jun 27, 2017   70.37   70.97   70.30   70.68   69.34   582500
Jun 26, 2017   69.93   70.38   69.81   70.30   68.97   818800
Jun 23, 2017   69.67   69.96   69.58   69.86   68.54   898000
Jun 22, 2017   69.76   69.87   69.45   69.53   68.21   418900
Jun 21, 2017   70.40   70.43   69.57   69.76   68.44   628300
Jun 20, 2017   70.95   71.04   70.17   70.27   68.94   875500
Jun 19, 2017   71.41   71.45   70.97   71.14   69.79   861100
Jun 16, 2017   70.54   71.19   70.54   71.16   69.81   1309300
Jun 15, 2017   70.87   71.05   70.55   70.95   69.61   1296300
Jun 14, 2017   71.04   71.42   70.86   71.05   69.71   1438800
Jun 13, 2017   70.48   71.93   70.48   71.49   69.76   932600
Jun 12, 2017   70.46   70.88   70.31   70.40   68.70   1020100
Jun 09, 2017   70.81   70.81   70.28   70.54   68.84   1120700
Jun 08, 2017   69.61   70.49   69.61   70.21   68.51   969200
Jun 07, 2017   68.54   69.65   68.35   69.60   67.92   857500
Jun 06, 2017   67.72   68.32   67.50   68.26   66.61   630000
Jun 05, 2017   67.51   68.48   67.51   67.87   66.23   605100
Jun 02, 2017   68.02   68.02   67.37   67.50   65.87   521800
Jun 01, 2017   68.05   68.13   67.38   67.87   66.23   699400
May 31, 2017   67.68   68.06   67.29   67.65   66.02   1148300
May 30, 2017   67.48   67.71   67.20   67.42   65.79   618900
May 26, 2017   68.15   68.30   67.54   67.58   65.95   561600
May 25, 2017   67.67   68.33   67.62   68.19   66.54   411400
May 24, 2017   68.16   68.32   67.66   67.67   66.04   542500
May 23, 2017   67.97   68.14   67.68   67.93   66.29   427500
May 22, 2017   67.70   67.99   67.37   67.91   66.27   685300
May 19, 2017   66.79   67.51   66.61   67.44   65.81   937500
May 18, 2017   66.74   66.93   65.98   66.74   65.13   1411900
May 17, 2017   66.77   67.22   66.62   66.73   65.12   827400
May 16, 2017   67.75   67.84   67.25   67.37   65.74   766800
May 15, 2017   67.44   68.07   67.44   67.77   66.13   839600
May 12, 2017   67.01   67.73   66.97   67.55   65.92   1067700
May 11, 2017   66.75   67.33   66.28   67.20   65.58   1359900
May 10, 2017   66.66   66.82   65.98   66.75   65.14   984100
May 09, 2017   67.18   67.40   66.73   66.75   65.14   1186400
May 08, 2017   67.90   68.03   66.74   67.03   65.41   982800
May 05, 2017   67.96   68.07   67.53   67.91   66.27   579100
May 04, 2017   68.10   68.10   67.30   67.96   66.32   850000
May 03, 2017   68.34   68.53   67.28   67.81   66.17   1213500
May 02, 2017   68.45   68.64   68.02   68.36   66.71   570500
May 01, 2017   69.24   69.24   68.43   68.44   66.79   626700
Apr 28, 2017   68.65   69.02   68.36   68.87   67.21   1047700
Apr 27, 2017   69.42   69.52   68.28   68.67   67.01   1561200
Apr 26, 2017   70.22   70.54   68.93   69.54   67.86   1873500
Apr 25, 2017   70.88   70.97   70.44   70.53   68.83   760500
Apr 24, 2017   70.83   70.99   70.11   70.45   68.75   1117200
Apr 21, 2017   69.97   70.30   69.66   69.91   68.22   833600
Apr 20, 2017   69.58   70.21   69.13   70.12   68.43   685000
Apr 19, 2017   69.42   69.64   69.07   69.17   67.50   488600
Apr 18, 2017   68.81   69.24   68.43   69.10   67.43   1041700
Apr 17, 2017   68.23   69.10   68.09   69.08   67.41   597400
Apr 13, 2017   68.58   68.69   67.92   68.11   66.47   783400
Apr 12, 2017   68.90   68.91   68.43   68.68   67.02   685800
Apr 11, 2017   69.07   69.33   68.51   69.00   67.33   701700
Apr 10, 2017   69.28   69.71   69.11   69.36   67.69   676600
Apr 07, 2017   68.77   69.58   68.74   69.22   67.55   822300
Apr 06, 2017   69.04   69.64   68.72   69.13   67.46   538200
Apr 05, 2017   69.02   69.90   68.55   69.09   67.42   799700
Apr 04, 2017   68.83   68.94   68.07   68.63   66.97   800000
Apr 03, 2017   69.28   69.60   68.83   68.91   67.25   677800
Mar 31, 2017   69.17   69.64   68.88   69.45   67.77   900500
Mar 30, 2017   68.70   69.51   68.52   69.39   67.71   895000
Mar 29, 2017   68.97   69.01   68.43   68.67   67.01   601100
Mar 28, 2017   68.98   69.39   68.60   69.14   67.47   969400
Mar 27, 2017   69.27   69.40   68.79   69.01   67.34   525900
Mar 24, 2017   69.92   70.54   69.68   69.85   68.16   844700
Mar 23, 2017   69.77   70.22   69.61   69.73   68.05   839900
Mar 22, 2017   69.81   69.96   69.39   69.70   68.02   712700
Mar 21, 2017   71.05   71.21   69.69   69.74   68.06   1142600
Mar 20, 2017   70.65   71.03   70.54   70.77   69.06   632600
Mar 17, 2017   71.12   71.46   70.85   70.88   69.17   1551600
Mar 16, 2017   70.78   71.26   70.37   71.16   69.44   1099200
Mar 15, 2017   70.69   70.91   70.36   70.82   69.11   956000
Mar 14, 2017   70.65   70.94   70.51   70.71   68.69   691500
Mar 13, 2017   70.88   71.02   70.43   70.78   68.76   1056200
Mar 10, 2017   71.31   71.57   70.27   70.96   68.93   1085200
Mar 09, 2017   71.04   71.27   70.71   71.08   69.05   720800
Mar 08, 2017   70.99   71.33   70.66   70.73   68.71   827200
Mar 07, 2017   71.44   71.44   70.73   70.93   68.90   738700
Mar 06, 2017   70.81   71.56   70.63   71.36   69.32   877400
